City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol
"Town of Ajax, ON",2008,538836, 4.916 ,109600,2016,PCP Protocol method
"City of Davis, CA",2009,348347, 5.310 ,65600,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Porto,2009,1020000, 4.269 ,238954,2016,The GHG emissions inventory was developed through the energy supply and demand data by the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt) and the National Statistics Institute (www.ine.pt). The Transports sector was estimated through a separate and specific mobility needs model.
City of San Diego,2009,12624227, 9.017 ,1400000,2016,IPCC
Comune di Bologna,2009,2270525, 5.879 ,386181,2016,Sustainable Energy Action Plan Guide Line
Torres Vedras Municipality,2009,260331, 3.276 ,79465,2016,
Ville de Montreal,2009,13722942, 7.274 ,1886481,2016,"2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)"
Abington Township,2010,615224, 11.123 ,55310,2016,"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns such as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below: 1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions."" The 2010 results are what is being reported for this questionnaire."
Ayuntamiento de  Chihuahua,2010,14330261, 17.030 ,841490,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Batangas City,2010,457288, 1.375 ,332458,2016,
Cascais,2010,565382, 2.717 ,208122,2016,"this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission"
City of Albany,2010,1217091, 12.438 ,97856,2016,New York Community and Regional GHG Inventory Guidance: Created by New York GHG Working Group
City of Baltimore,2010,7579144, 12.170 ,622793,2016,"ICLEI’s methodology provides a systematic framework for local governments to track energy- and waste-related activities in the community, and to calculate the amounts of greenhouse gases produced by each activity and sector. The inventory methodology involves two sections: a community-wide assessment and a separate inventory of government operations. Once completed, these inventories provide the basis for an emission forecast, and allow for the quantification of emission reductions associated with proposed measures. Baltimore City’s Greenhouse Gas Emissions Inventory consists of two essentially distinct inventories: one for the Baltimore City community as a whole, defined by geographic borders, and one highlighting emissions resulting from the City of Baltimore’s Government operations and buildings owned. The Government Inventory is a subset of the Community Inventory (emissions from the municipal operations are embedded in the community inventory). Distinguishing the City Governmental emissions in this way allows the City, which formally committed to reducing emissions, to lead by example in tracking its own facilities and vehicles while evaluating the effectiveness of its emission reduction efforts. Compiling Baltimore City’s emissions inventory required the collection of information from a variety of sources. The data represents 2010 energy usage, except where notes indicate data gaps that necessitated use of older records. For our scope, all emissions associated with energy consumed in Baltimore City are included, regardless of the location of the original energy source. This means that, even though the electricity used by Baltimore residents is produced in a plant outside of Baltimore City’s geographical borders, this energy and the emissions associated with it appear in Baltimore City’s inventory. The decision to capture emissions in this way reflects the general philosophy that a community should take full responsibility for the impacts associated with its energy consumption, regardless of where the energy generation occurs."
City of Benicia,2010,688706, 25.089 ,27450,2016,
City of Burlington,2010,405385, 9.587 ,42284,2016,"The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant. Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population."
City of Burlington,2010,405385, 9.587 ,42284,2017,International Emissions Analysis Protocol (ICLEI)
City of Chicago,2010,33500000, 12.321 ,2719000,2016,"Chicago conducts regional GHG emissions inventories in-keeping with rigorous protocol and standards. New GHG methodologies and standards that were not available for previous analyses will be evaluated and adopted for future GHG emissions inventories, as-appropriate. The following GHG protocols were used in the 2010 Regional GHG Inventory: The LGOP for Greenhouse Gas Assessments developed by ICLEI, CAR, TCR and CARB (California Air Resources Board 2010a): This protocol includes methods for estimating emissions resulting from government buildings and facilities, government fleet vehicles, wastewater treatment and potable water treatment facilities, landfill and composting facilities, and other operations. This protocol was developed primarily for use by California local governments; although it contains methodologies for estimating emissions pertinent to community emissions sources. Further, this protocol can be modified for use outside of California, although in some cases, data sources or other references may need to be modified accordingly to local conditions or constraints. The USEPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2007 (U.S. Environmental Protection Agency 2009a): The national inventory documentation includes standard methodology and emission factors for nationwide GHG emissions inventorying. The IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on Climate Change 2006a): This document is the international standard for inventories and provides much of the baseline methodology used in the national and statewide emission inventories. The GHG Protocol Corporate Standard developed by WRI and the WBCSD (World Resources Institute 2004): Although this is a protocol designed for use primarily by private corporations, it was one of the first documents to establish the principles and steps to developing a GHG inventory. This document has influenced the development of other types of GHG protocols, including those for municipal, government, and community-wide emissions."
City of Cleveland,2010,11889595, 29.963 ,396815,2016,"This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. Tools - Inventory Management System: Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities"
City of Cupertino,2010,296048, 4.888 ,60572,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Dallas,2010,17229388, 13.699 ,1257676,2016,Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.
City of North Vancouver,2010,196840, 3.760 ,52346,2016,Partners for Climate Protection - Canadian Supplement to the International Emissions Analysis Protocol
City of Parañaque,2010,788108, 1.184 ,665822,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
"City of Portland, ME",2010,1142797, 17.142 ,66666,2017,Other
City of Yonkers,2010,1248650, 6.251 ,199766,2016,We have measured energy but used a methodology similar to WRI. We used NYSERDA' s emission factor.
Métropole Nice Côte d'Azur,2010,3352154, 6.095 ,550000,2016,Bilan Carbone
Prefeitura de Vitória,2010,1689719, 4.716 ,358267,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Roma Capitale,2010,10008879, 3.489 ,2868347,2016,"The metodology is top - down, using data of primary energy source amount."
Santiago de Cali,2010,4174608, 1.762 ,2369829,2016,
Tarakan City,2010,492164, 1.945 ,253026,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Abasan Al-Kabira Municipality,2011,32221, 1.074 ,30000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Bornova Municipality,2011,758627, 1.824 ,416007,2016,
City Government of Makati,2011,1660370, 3.138 ,529039,2016,"Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol. *GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'."
"City of Charlottesville, VA",2011,720870, 14.953 ,48210,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Peterborough,2011,283061, 3.597 ,78698,2016,
"City of Piedmont, CA",2011,43442, 3.920 ,11082,2016,
City of Santa Monica,2011,705443, 7.668 ,92000,2016,
City of Winnipeg,2011,5379024, 7.312 ,735600,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
Comune di Genova,2011,1810370, 3.053 ,592995,2016,The data that have been monitored by MEI 2011 and reported on SEAP
Distrito Metropolitano de Quito,2011,5233350, 2.337 ,2239191,2016,
Dublin City Council,2011,2942349, 5.577 ,527612,2016,See LGO1.3 attachment
Metropolitan Government of Nashville and Davidson County,2011,12275845, 18.082 ,678889,2016,"The original 2005 baseline inventory utilized ICLEI’s Clean Air and Climate Protection (CACP) software to generate GHG emissions and other data; however, only a subset of the original 2005 data entered into the ICLEI CACP software was available for the update presented in this report. Therefore, spreadsheets were created using Microsoft Excel (2010) software to recalculate the 2005 GHG emissions. Emissions were recalculated by applying CO2 equivalency factors used for the 2011 data to the 2005 ICLEI output data. The 2005 GHG emissions were recalculated by this method since the original CO2 equivalency factors used by the CACP software are unpublished and no longer available. Separately, spreadsheets were developed using Microsoft Excel (2010) software to track and calculate GHG emission data from both municipal and community sources as part of the 2011 inventory. Calculations for the update followed the Local Government Operations Protocol for the Quantification and Reporting of Greenhouse Gas Emissions Inventories (Version 1.0) and were incorporated into the spreadsheets using the collected data, including electricity usage, natural gas usage, gasoline consumption, and solid waste volume, and generally accepted CO2 equivalency factors originating from the US EPA and other sources. The data and emission conversion factors referenced in this report are presented in Appendices A through D."
Stadt Heidelberg,2011,879900, 6.070 ,144948,2016,Institut für Energie- und Umweltforschung Heidelberg GmbH
Addis Ababa City Administration,2012,3708292, 1.096 ,3384569,2016,Reported according to the BASIC+ requirement
Addis Ababa City Administration,2012,5043860, 1.327 ,3800000,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Alcaldia de Monterìa,2012,903738, 2.526 ,357746,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Alcaldia de Valdivia,2012,419319, 2.525 ,166080,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
Basel-Stadt,2012,885878, 4.497 ,197005,2016,Energy-consumption statistics of the canton Basel-Stadt. CO2-emissions can be calculated according to the energy consumption. The calculation of the air-quality report of the canton Basel-Stadt is based on Corinair: http://www.eea.europa.eu/publications/EMEPCORINAIR5. Air-quality report: http://www.baselland.ch/fileadmin/baselland/files/docs/bud/lufthygiene/plan/luftreinhalteplan_2010_bericht.pdf. Last actualisation 2010. Next actualisation 2015. Report about the 2000-Watt-Society: http://www.aue.bs.ch/Energiestudie-BS-Endbericht-2011.pdf
"City of Arlington, VA",2012,2550886, 11.574 ,220400,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Boulder,2012,1721996, 16.430 ,104810,2016,"This protocol was adopted for the 2012 inventory. Previous inventories followed a different methodology making an apples to apples comparison difficult. It is the city's intention to follow the GPC, in addition to the U.S. Community Protocol, for the 2015 inventory, expected completion by December 2016."
City of Cambridge,2012,1462236, 13.330 ,109694,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
City of Cape Town,2012,22643846, 5.778 ,3918830,2016,"During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report. The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category. Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train) The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors. In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses."
City of Detroit,2012,10329322, 14.998 ,688701,2016,
City of Hamilton,2012,16469283, 31.675 ,519949,2016,"Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill Transportation and Agriculture data from Statistics Canada Census Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI) Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities"
"City of Hermosa Beach, CA",2012,126611, 6.411 ,19750,2016,
City of Knoxville,2012,3999874, 21.705 ,184281,2016,ICLEI Clean Air and Climate Protection
City of Mannheim,2012,3806000, 12.171 ,312722,2017,Other: BISKO
City of Ottawa,2012,5420000, 5.801 ,934243,2017,International Emissions Analysis Protocol (ICLEI)
City of Philadelphia,2012,19212870, 12.314 ,1560297,2016,"In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol. Electricity, natural gas and steam usage was provided by the local utilities. Data related to onsite combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population. Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities. Waste data was modeled using MSW and private collection data along with local landfill and incinerator emissions based on total waste. This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia"
City of Phoenix,2012,15895005, 10.341 ,1537058,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Francisco,2012,5381687, 6.223 ,864816,2016,"Used ICLEI U.S. Community Protocol to verify calendar year 2012 emissions. During November 2015, the city reshaped and scoped calendar year 2012 emissions according to the new GPC BASIC framework to Compact of Mayors requirements. The GPC expanded the scope of the verified 2012 inventory to report sources such as from natural gas leakage from the distribution system, district electricity, transmission and distribution electric losses, wastewater, agriculture/farming, ships and boats (non-ferry), off-road equipment and stationary sources. This resulted in a higher emission number than originally verified by a third party."
City of Seattle,2012,5222000, 7.883 ,662400,2016,Please see detailed source notes throughout the inventory document.
City of Stockholm,2012,2511000, 2.784 ,901989,2016,"The Stockholm proprietary method The total emissions for the community include (Scope 1 & 2 as defined in ""International standard for determining GHG for cities"" Version 2.1 and ""Global protocol for community-scale GHG (GPD)"" Pilot Version 1.0”. Scope 3 defined as the life cycle emissions of the energy use): Scope 1 & 3 emissions from district heating & cooling system and other in-boundary fuel combustion for heating Scope 2 & 3 emissions of the house-hold electricity consumption within the community boundary Scope 1 & 3 emissions of use of gas e.g. cooking Scope 2 & 3 emissions for electricity use in the transportation system (metro, commuter, train) within the community Scope 1 & 3 emissions for the fuel consumption from road traffic, non-road vehicles and shipping, & scope 1 emissions from aviation (within the landing & take-off cycle, i.e. up to 915m). This means that scope 3 emissions from transport of inhabitants outside the community boundary is not included (but transport of non-inhabitants within the community boundary is). Emission from household waste incineration is embedded in the district heating emissions, since household waste is a source of energy used in district heating. Energy use for waste-water handling is included in the total community energy use. Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001 and Thermal Engineering Research Institute (Värmeforsk) in 2011. The reports are widely used and acknowledged. The global warming potentials are GWP100 from IPCC 2007, as recommended by the Swedish Environmental Protection Agency (SEPA). Energy statistics are collected from different sources: district heating & gas statistics are collected from the companies; electricity statistics is compiled and collected from Statistics Sweden; emissions from road transport is modeled using an extensive emission model combined with a road model over Stockholm (includes a variety vehicles, speeds, road types etc) and non-road emissions are taken from Statistics Sweden; marine emissions within the community boundary are based on emissions & energy use presented in environmental reports from shipping companies and Ports of Stockholm."
City of Tucson,2012,6659101, 12.568 ,529845,2016,
Government of Hong Kong Special Administrative Region,2012,42700000, 5.845 ,7305700,2016,"We made reference to the ""2006 IPCC Guidelines for National Greenhouse Gas Inventories""."
Landeshauptstadt Magdeburg,2012,1400000, 5.882 ,238000,2016,Software ECORegion smart from the Climate Alliance
Metropolitan Municipality of Lima,2012,15432105, 1.763 ,8755262,2016,"La metodología Global Protocol for Community- scale Greenhouse Gas emissions (GPC) establece que los límites pueden definirse en cualquiera de tres niveles: Internacional, inter-ciudades/subnacional, o al interior de la ciudad."
Municipalidad de La Paz,2012,1426534,#DIV/0!,,2016,"Global Protocol for Community-Scale GHG Emission Inventories (GPC), norma Internacional ISO 14064:1 para Gases de Efecto Invernadero, las herramientas de medición del Greenhouse Gas Protocol (GHG Protocol) y la metodología MC3 (Método Compuesto de las Cuentas Contables5) de Carbonfeel. - Alcance 1. Emisiones Directas de GEI: Fuentes de emisión que son de propiedad de la organización o están contraladas por esta. Las emisiones bajo este alcance son de reporte obligatorio según la NB-ISO 14064. - Alcance 2. Emisiones Indirectas de GEI por energía: Emisiones indirectas de GEI que provienen de la generación de electricidad de origen externo, consumido por la organización. Las emisiones bajo este alcance también son de reporte obligatorio, según la NB-ISO 14064. - Alcance 3. Otras Emisiones Indirectas de GEI: Las emisiones de GEI indirectas ocurren como consecuencia de las actividades de la organización, pero provienen de fuentes que no son controladas por la misma. Las emisiones bajo este alcance son de reporte voluntario, según la NB-ISO 14064."
Prefeitura de Sorocaba,2012,1113971, 1.707 ,652481,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Prefeitura do Rio de Janeiro,2012,20268045, 3.129 ,6476631,2016,"Rio de Janeiro was one of the pilot cities to use the GPC first version. We updated the last inventory (2005) and calculated the new one (2012). We used IPCC 2006 with some adaptations to the local context, following the GPC requirements and procedures."
Prefeitura do Rio de Janeiro,2012,17006642, 2.608 ,6520266,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
Singapore Government,2012,48094650, 8.588 ,5600000,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
Tel Aviv-Yafo Municipality,2012,4654482, 10.752 ,432900,2017,International Emissions Analysis Protocol (ICLEI)
Town of Blacksburg,2012,383747, 8.725 ,43985,2016,We used the 2010 version of the ICLEI Protocol
Auckland Council,2013,10472155, 6.671 ,1569900,2016,Version 1 (published in 2014)
Ayuntamiento de Madrid,2013,10257048, 3.249 ,3156572,2016,
City of Adelaide,2013,486541, 21.000 ,23169,2016,
"City of Alton, IL",2013,401079, 15.089 ,26581,2016,
City of Austin,2013,13700000, 15.424 ,888204,2016,
City of Austin,2013,13001831, 14.244 ,912791,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Bournemouth,2013,782650, 4.089 ,191400,2016,The GHG emissions described in this section were calculated and published by the Department for Energy and Climate Change (DECC). Summary of the calculation methodology is available from: https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-2013.
City of Bournemouth,2013,731230, 3.820 ,191400,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Cardiff,2013,2128000, 6.006 ,354300,2016,Department of Energy and Climate Change (DECC) local authority CO2 emissions data
City of Greensboro,2013,4467691, 15.565 ,287027,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Indianapolis,2013,2160365, 2.542 ,850000,2016,The data was been collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modeling. (hestia.project.asu.edu/) http://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf
City of Indianapolis,2013,2160365, 2.533 ,853000,2017,Other: Hestia Project
City of Iowa City,2013,1298620, 17.689 ,73415,2016,The methodology that was used was through ICLEI in 2009 using Clean Air and Climate Protection (CACP2009) software.
City of Lahti,2013,685460, 5.692 ,120432,2016,With some national modifications
City of Leicester,2013,1719600, 5.151 ,333812,2016,
City of Los Angeles,2013,, -   ,3928864,2016,
City of Los Angeles,2013,28922796, 7.175 ,4030904,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
"City of Miami Beach, FL",2013,1207364, 13.162 ,91732,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of Nagoya,2013,13420000, 5.900 ,2274511,2016,コメント欄のとおり: 地球温暖化対策地方公共団体実行計画（区域施策編）策定マニュアル（第１版）に基づき、市内における人為的な活動に伴う排出量を把握している。
City of Oakland,2013,2733664, 6.335 ,431500,2016,(ICLEI / The Climate Registry / California Climate Action Registry / California Air Resource Board)
City of Okayama,2013,6916000, 9.797 ,705917,2016,
City of Oslo,2013,1340422, 2.036 ,658390,2016,"Oslo gets most of the GHG-data from Statistics Norway and has further developed it to make it compliant with the GPC-protocol. The GPC- reporting was approved september 2015. Statistics Norway did a revision of the GHG-data in february 2016, but this last revision has not been updated in the GPC-reporting."
City of Pittsburgh,2013,4803046, 15.711 ,305704,2016,
City of Pittsburgh,2013,4851452, 15.870 ,305704,2017,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)
City of Reykjavík,2013,346630, 2.831 ,122460,2016,"Well, this is the total emissions as we only calculate scope 1. As I understand scope 1 this is scope 1 emissions, due to activities of citizens and businesses within the city limits, waste and flight / shipping. Emissions from energy generation is not included. That kind of emission is though very low as our energy and district heating runs on Hydro power and geothermal heat. We are not counting emissions from activities outside of the borders of the city, such as emissions from the international airport which is outside of Reykjavik and not the emissions of any production outside of the city which I understand is scope 3."
"City of Richmond, VA",2013,3152498, 14.471 ,217853,2016,Collected data over a 1 year period with the help of many City departments as well as private utility company.
City of Salvador,2013,3698964, 1.274 ,2902927,2016,
City of Salvador,2013,3661647, 1.261 ,2902927,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)"
City of San Antonio,2013,15734762, 11.239 ,1400000,2016,
City of Toronto,2013,18320966, 6.655 ,2753100,2016,"Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste. a. Energy Heating and Cooling: The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc... b. Transportation: Data are collected and standardized only for car and truck traffic through the City using four main sources: -truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division -accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division --a Canadian standard developed by a Canadian consultant The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources. c. Waste: Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills."
City of Turku,2013,1107500, 5.954 ,186000,2016,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management."
City of West Palm Beach,2013,1484767, 13.150 ,112906,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC)
